Sample_ID	WwTW	Season	Distance	Date	Day	Month	Year	Soluble_reactive_phosphorus	Total_dissolved_phosphorus	Total_phosphorus	Dissolved_ammonium	Dissolved_fluoride	Dissolved_chloride	Dissolved_nitrite	Dissolved_nitrate	Dissolved_Nitrate_N	Dissolved_sulphate	Total_dissolved_nitrogen	N_check	Dissolved_organic_carbon
Wantage_Winter_-100	Wantage	Winter	-100	14/02/2017	14	2	17	53	57	68	0.03	0.161561314	20.81655247	0	27.5308353	6.216640228	31.55967079	6.95	6.237963656	2.2
Wantage_Winter_-10	Wantage	Winter	-10	14/02/2017	14	2	17	53	45	61	0.049	0.157406748	20.5118033	0	27.65501772	6.24468142	31.74178979	7.02	6.2807703	2
Wantage_Winter_0	Wantage	Winter	0	14/02/2017	14	2	17	377	404	644	1.98	0.096256905	61.69300039	0.535347052	80.96397846	18.28218868	79.03408878	23.82	19.81595096	5.92
Wantage_Winter_10	Wantage	Winter	10	14/02/2017	14	2	17	157	158	295	0.645	0.172186095	34.91139319	0.171817526	46.39916791	10.47723146	47.74650102	12.8	10.97540801	3.01
Wantage_Winter_100	Wantage	Winter	100	14/02/2017	14	2	17	154	178	344	0.565	0.171401709	34.15751738	0.172641479	45.46504537	10.26630057	46.81064417	12.14	10.70233674	2.89
Wantage_Winter_250	Wantage	Winter	250	14/02/2017	14	2	17	158	176	336	0.52	0.174510386	34.86259345	0.175667288	46.63230149	10.52987453	47.60674825	12.06	10.93083348	3.06
Wantage_Winter_500	Wantage	Winter	500	14/02/2017	14	2	17	162	185	335	0.445	0.170682793	35.15549721	0.18038619	47.32664301	10.68666133	47.94279498	12.48	11.02924934	3.14
Wantage_Winter_1000	Wantage	Winter	1000	14/02/2017	14	2	17	161	266	344	0.405	0.174129018	35.02184298	0.175766631	47.37456701	10.69748287	47.55717327	12.52	11.0089632	3.16
Wantage_Summer_-100	Wantage	Summer	-100	07/06/2017	7	6	17	60	69	94	0.045	0.249509598	20.1815105	0.032951597	20.59692103	4.650917651	33.2987829	5.43	4.684410063	3.48
Wantage_Summer_-10	Wantage	Summer	-10	07/06/2017	7	6	17	58	63	79	0.042	0.249632672	20.27477433	0.051071687	20.50183815	4.629447325	33.37079872	5.56	4.660613845	4.06
Wantage_Summer_0	Wantage	Summer	0	07/06/2017	7	6	17	448	532	680	0.36	0.218185909	62.84540004	0.20770235	90.78621258	20.50011252	77.06713082	23.22	20.7734395	7.02
Wantage_Summer_10	Wantage	Summer	10	07/06/2017	7	6	17	227	277	374	0.186	0.196464415	39.69696489	0.124276768	52.37199474	11.8259343	53.55219639	13.6	11.96675523	4.48
Wantage_Summer_100	Wantage	Summer	100	07/06/2017	7	6	17	201	248	339	0.165	0.195890563	36.61706616	0.119255237	47.2625	10.67217742	50.20906898	12.46	10.79704071	4.32
Wantage_Summer_250	Wantage	Summer	250	07/06/2017	7	6	17	166	202	262	0.123	0.191381732	32.29125378	0.103655926	39.86196316	9.001088455	45.60512082	10.34	9.093831227	4.16
Wantage_Summer_500	Wantage	Summer	500	07/06/2017	7	6	17	189	230	295	0.131	0.195309436	34.65280023	0.136135667	43.4405548	9.809157536	48.02520382	11.7	9.907860564	4.16
Wantage_Summer_1000	Wantage	Summer	1000	07/06/2017	7	6	17	213	258	316	0.13	0.194350802	37.45274667	0.157998446	47.92745862	10.82232937	50.93947247	13.28	10.91992807	3.62
Wantage_Autumn_-100	Wantage	Autumn	-100	03/10/2017	3	10	17	58	71	72	0.021	0.228141447	18.28869071	0	18.82729437	4.251324535	32.71522206	4.52	4.266283287	2.54
Wantage_Autumn_-10	Wantage	Autumn	-10	03/10/2017	3	10	17	57	65	73	0.026	0.223083367	18.48208402	0	18.95722227	4.280663093	32.9562723	4.37	4.299500409	2.56
Wantage_Autumn_0	Wantage	Autumn	0	03/10/2017	3	10	17	540	616	1278	1.38	0.051172086	86.68747342	0.496843943	111.746946	25.23318137	100.8278197	30.36	26.29813912	9.48
Wantage_Autumn_10	Wantage	Autumn	10	03/10/2017	3	10	17	274	314	375	0.448	0.17207546	49.10898107	0.22018218	61.3139259	13.84508004	64.10966048	15.68	14.18898236	4.76
Wantage_Autumn_100	Wantage	Autumn	100	03/10/2017	3	10	17	196	215	314	0.258	0.174442853	38.13464209	0.150771675	46.07168215	10.40328307	52.29229685	11.38	10.60055033	4.52
Wantage_Autumn_250	Wantage	Autumn	250	03/10/2017	3	10	17	195	213	331	0.22	0.172425336	37.59081754	0.147960756	45.3207943	10.23372774	51.61424908	10.88	10.4015007	3.92
Wantage_Autumn_500	Wantage	Autumn	500	03/10/2017	3	10	17	254	292	382	0.256	0.160333781	45.81329763	0.235075627	57.24402858	12.92607097	60.18042345	14.42	13.12096949	5.44
Wantage_Autumn_1000	Wantage	Autumn	1000	03/10/2017	3	10	17	253	283	405	0.204	0.161997284	45.07920893	0.223387025	56.83976486	12.83478561	59.48110044	14.08	12.98927811	4.86
Watlington_Winter_-100	Watlington	Winter	-100	21/02/2017	21	2	17	94	112	185	0.065	0.150293184	16.41889276	0.083751751	15.41322104	3.48040475	28.30138513	3.82	3.529826724	4.02
Watlington_Winter_-10	Watlington	Winter	-10	21/02/2017	21	2	17	91	126	173	0.054	0.167806672	16.38896716	0.091346071	15.40708478	3.479019143	28.15749419	3.85	3.51988791	4.4
Watlington_Winter_0	Watlington	Winter	0	21/02/2017	21	2	17	2180	2484	2863	3.32	0.153586477	61.72052429	0.768658174	66.0809919	14.9215143	39.62448573	19.42	17.49835098	7.24
Watlington_Winter_10	Watlington	Winter	10	21/02/2017	21	2	17	1960	2337	2653	3.48	0.152109746	57.18320944	0.797066676	59.66141903	13.47193333	38.73366997	18.56	16.17365427	5.5
Watlington_Winter_100	Watlington	Winter	100	21/02/2017	21	2	17	2020	2168	2611	3.6	0.153960032	57.73170666	0.905136208	59.76218906	13.49468785	38.79065894	19.1	16.28971405	4.13
Watlington_Winter_250	Watlington	Winter	250	21/02/2017	21	2	17	2040	2316	2800	3.74	0.15170252	58.35959051	1.118911205	59.60117933	13.45833082	39.00977962	19.54	16.36223343	5.33
Watlington_Winter_500	Watlington	Winter	500	21/02/2017	21	2	17	590	656	864	0.73	0.16684915	37.36588605	0.509815373	48.63450057	10.981984	32.08409956	12.68	11.5460942	3.55
Watlington_Winter_1000	Watlington	Winter	1000	21/02/2017	21	2	17	405	480	592	0.334	0.165995425	33.732152	0.451618507	46.57928391	10.51790282	32.09666768	12.16	10.7742311	3.13
Watlington_Summer_-100	Watlington	Summer	-100	13/06/2017	13	6	17	42	66	311	0.09	0.151628112	16.21422722	0.028529143	5.466656948	1.234406408	27.0129247	1.5	1.303992788	5.82
Watlington_Summer_-10	Watlington	Summer	-10	13/06/2017	13	6	17	83	98	379	0.063	0.234731376	16.39061077	0.021466624	6.305536258	1.423830768	27.96421362	1.47	1.472360729	4.88
Watlington_Summer_0	Watlington	Summer	0	13/06/2017	13	6	17	815	906	1106	1.98	0.128059645	80.42052107	0.675789978	87.90376937	19.84923825	42.98308664	22.92	21.38249518	6.93
Watlington_Summer_10	Watlington	Summer	10	13/06/2017	13	6	17	800	888	1276	2.06	0.126278475	74.94805474	0.735717445	82.26317229	18.57555503	41.84108416	22.5	20.1714311	6.39
Watlington_Summer_100	Watlington	Summer	100	13/06/2017	13	6	17	770	882	1254	1.94	0.145623905	74.93147374	0.999433074	81.2805518	18.35367299	41.97876781	22.14	19.85630801	5.94
Watlington_Summer_250	Watlington	Summer	250	13/06/2017	13	6	17	880	1006	1492	2.08	0.153189726	69.28705158	1.330620043	79.88093639	18.0376308	41.90562303	21.78	19.64923244	6.57
Watlington_Summer_500	Watlington	Summer	500	13/06/2017	13	6	17	283	341	358	0.405	0.240541602	39.46251208	0.550320899	51.54995835	11.64031318	33.6073685	13.9	11.95148946	3.08
Watlington_Summer_1000	Watlington	Summer	1000	13/06/2017	13	6	17	293	318	357	0.385	0.232633361	41.01114256	0.632172154	52.22672979	11.79313253	34.19906435	13.7	12.08870744	4
Watlington_Autumn_0	Watlington	Autumn	0	10/10/2017	10	10	17	2050	2050	2330	2.38	0.047139574	86.53599318	0.734660784	124.7408451	28.16728761	55.51963074	32	30.00890416	8.58
Watlington_Autumn_10	Watlington	Autumn	10	10/10/2017	10	10	17	2070	2100	2350	2.3	0.046831746	86.19792057	0.888720562	114.4923854	25.85311928	55.21192536	31.24	27.6332737	9.49
