run_accession,analysis_accession,sample_accession,study_accession,analysis_type,tax_id,scientific_name,submitted_ftp,study_accession,experiment_accession,fastq_ftp,submitted_ftp,sra_ftp,bam_match,samplename
ERR3572847,ERZ2270687,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2270687/ERR3572847.fasta.gz,PRJEB34634,ERX3571085,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572847/ERR3572847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572847/ERR3572847_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572847/WTCHG_670348_242184.bam,,WTCHG_670348_242184,DID-DW-100-AUT
ERR3572848,ERZ2272566,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2272566/ERR3572848.fasta.gz,PRJEB34634,ERX3571086,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572848/ERR3572848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572848/ERR3572848_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572848/WTCHG_670345_242184.bam,,WTCHG_670345_242184,DID-DW-100-AUT
ERR3572849,ERZ2227750,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ222/ERZ2227750/ERR3572849.fasta.gz,PRJEB34634,ERX3571087,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3572849/ERR3572849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3572849/ERR3572849_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572849/WTCHG_670346_242184.bam,,WTCHG_670346_242184,DID-DW-100-AUT
ERR3572850,ERZ2227082,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ222/ERZ2227082/ERR3572850.fasta.gz,PRJEB34634,ERX3571088,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3572850/ERR3572850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3572850/ERR3572850_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572850/WTCHG_670349_242184.bam,,WTCHG_670349_242184,DID-DW-100-AUT
ERR3572851,ERZ2226719,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ222/ERZ2226719/ERR3572851.fasta.gz,PRJEB34634,ERX3571089,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/001/ERR3572851/ERR3572851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/001/ERR3572851/ERR3572851_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572851/WTCHG_670344_242184.bam,,WTCHG_670344_242184,DID-DW-100-AUT
ERR3572852,ERZ2226768,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ222/ERZ2226768/ERR3572852.fasta.gz,PRJEB34634,ERX3571090,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572852/ERR3572852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572852/ERR3572852_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572852/WTCHG_670347_242184.bam,,WTCHG_670347_242184,DID-DW-100-AUT
ERR3572853,ERZ2227383,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ222/ERZ2227383/ERR3572853.fasta.gz,PRJEB34634,ERX3571091,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/003/ERR3572853/ERR3572853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/003/ERR3572853/ERR3572853_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572853/WTCHG_664453_242184.bam,,WTCHG_664453_242184,DID-DW-100-AUT
ERR3572854,ERZ2270831,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2270831/ERR3572854.fasta.gz,PRJEB34634,ERX3571092,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3572854/ERR3572854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3572854/ERR3572854_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572854/WTCHG_670349_252159.bam,,WTCHG_670349_252159,DID-DW-100-SUM
ERR3572855,ERZ2272690,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2272690/ERR3572855.fasta.gz,PRJEB34634,ERX3571093,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3572855/ERR3572855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3572855/ERR3572855_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572855/WTCHG_670344_252159.bam,,WTCHG_670344_252159,DID-DW-100-SUM
ERR3572856,ERZ2271703,SAMEA5989477,PRJEB45055,SEQUENCE_ASSEMBLY,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/ERZ227/ERZ2271703/ERR3572856.fasta.gz,PRJEB34634,ERX3571094,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3572856/ERR3572856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3572856/ERR3572856_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572856/WTCHG_670347_252159.bam,,WTCHG_670347_252159,DID-DW-100-SUM
