study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,fastq_ftp,submitted_ftp,sra_ftp,bam_match,samplename
PRJEB34634,SAMEA5989477,ERX3571085,ERR3572847,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572847/ERR3572847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572847/ERR3572847_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572847/WTCHG_670348_242184.bam,,WTCHG_670348_242184,DID-DW-100-AUT
PRJEB34634,SAMEA5989477,ERX3571086,ERR3572848,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572848/ERR3572848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572848/ERR3572848_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572848/WTCHG_670345_242184.bam,,WTCHG_670345_242184,DID-DW-100-AUT
PRJEB34634,SAMEA5989477,ERX3571087,ERR3572849,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3572849/ERR3572849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/009/ERR3572849/ERR3572849_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572849/WTCHG_670346_242184.bam,,WTCHG_670346_242184,DID-DW-100-AUT
PRJEB34634,SAMEA5989477,ERX3571088,ERR3572850,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3572850/ERR3572850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/000/ERR3572850/ERR3572850_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572850/WTCHG_670349_242184.bam,,WTCHG_670349_242184,DID-DW-100-AUT
PRJEB34634,SAMEA5989477,ERX3571089,ERR3572851,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/001/ERR3572851/ERR3572851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/001/ERR3572851/ERR3572851_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572851/WTCHG_670344_242184.bam,,WTCHG_670344_242184,DID-DW-100-AUT
PRJEB34634,SAMEA5989477,ERX3571090,ERR3572852,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572852/ERR3572852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/002/ERR3572852/ERR3572852_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572852/WTCHG_670347_242184.bam,,WTCHG_670347_242184,DID-DW-100-AUT
PRJEB34634,SAMEA5989477,ERX3571091,ERR3572853,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/003/ERR3572853/ERR3572853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/003/ERR3572853/ERR3572853_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572853/WTCHG_664453_242184.bam,,WTCHG_664453_242184,DID-DW-100-AUT
PRJEB34634,SAMEA5989477,ERX3571092,ERR3572854,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3572854/ERR3572854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/004/ERR3572854/ERR3572854_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572854/WTCHG_670349_252159.bam,,WTCHG_670349_252159,DID-DW-100-SUM
PRJEB34634,SAMEA5989477,ERX3571093,ERR3572855,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3572855/ERR3572855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/005/ERR3572855/ERR3572855_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572855/WTCHG_670344_252159.bam,,WTCHG_670344_252159,DID-DW-100-SUM
PRJEB34634,SAMEA5989477,ERX3571094,ERR3572856,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3572856/ERR3572856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/006/ERR3572856/ERR3572856_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572856/WTCHG_670347_252159.bam,,WTCHG_670347_252159,DID-DW-100-SUM
PRJEB34634,SAMEA5989477,ERX3571095,ERR3572857,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572857/ERR3572857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/007/ERR3572857/ERR3572857_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572857/WTCHG_670345_252159.bam,,WTCHG_670345_252159,DID-DW-100-SUM
PRJEB34634,SAMEA5989477,ERX3571096,ERR3572858,749907,sediment metagenome,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572858/ERR3572858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/008/ERR3572858/ERR3572858_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR357/ERR3572858/WTCHG_670346_252159.bam,,WTCHG_670346_252159,DID-DW-100-SUM
